jsonl_line	id	idx	finish_reason	output_len	reasons	evidence
260	sample_124	124	stop	6376	stray_token_坨	...e-scripting. Just stay in Step 1 and 2. Acknowledge the resistance. *"坨I notice I am not ready to let go. That is okay. I will stay with the feeling."* The release will come when it's ready....
277	sample_166	166	stop	6290	stray_token_坨	...ghed, a dry, rattling sound. “You think I killed him?” Victor said. “坨I wanted to. God knows I wanted to. But I didn’t.” “Then why were you at his building?” “To scare him. To remind him...
942	sample_965	965	stop	1946	encoding_artifact	...ortant:** An essay should have a clear conclusion as its final section�乐. The argument should be persuasive, like a "statistics match with a very clear winner." 3. **Cohesion is critical:**...
993	sample_714	714	length	12150	stray_token_坨	...istled through the stone notes, creating a lonely, haunting melody. “坨 (Tuó) is tired,” Starlight whispered, using a gentle word for herself. “And the song is making me sad.” Lily felt a l...
2239	sample_2121	2121	stop	6821	stray_token_坨	...broke. “You didn’t do anything wrong,” he said, his voice cracking. “坨I did. I fell in love with you. Years ago. And I’ve been too much of a coward to tell you, because I was terrified of l...
2989	sample_2835	2835	stop	8079	stray_token_坨	...rt school. I was going to be something.” “I know,” Elias whispered. “坨I know. I was a monster. I was my father’s son. But I’m not him. I have a wife. She’s sick. I have a daughter. They don...
3796	sample_3566	3566	stop	9704	stray_token_坨	...the old water tower as a "Museum of the Mundane." **LEO** (Serious) 坨I’ve already calculated the security protocols. We’ll need a moat. **MAYA (V.O.)** My family is still a case study. Bu...
4156	sample_3869	3869	length	12267	stray_token_坨	...red the betrayal. The fire in her hearth had been cold ever since. “坨I am not a hero,” she said. “I am a murderer.” “Then you are in good company,” the knight replied. “We are all murdere...
4205	sample_3918	3918	length	17294	repeated_tail_ngram:│	tail: │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │ │
4364	sample_4256	4256	stop	6571	stray_token_坨	...in a temple in Myanmar. The one Croft was rumored to have… acquired. 坨坨 (Tuó Tuó) is the name of the security AI. I hear its voice, a soft, feminine hum, through a hidden speaker. “Perimete...
4975	sample_4862	4862	stop	6498	stray_token_坨	...My name is mud. I have nothing to offer you but a legacy of shame.” “坨坨，”Harry said, using the nickname he’d never dared to say aloud. “I don’t want your name. I don’t want your money. I ju...
5463	sample_5281	5281	stop	9330	stray_token_坨	...n her hand. “Leo,” she said, her voice flat. “You’re a liability.” “坨坨” I laughed, a bitter, hollow sound. “I’m your brother.” “You’re a quantum anomaly,” she corrected. “Your body is a w...
5505	sample_5391	5391	stop	7322	stray_token_坨	...w-eyed specter. When the ride stopped, she was pale, her smile gone. “坨 (tuó)… my smile,” she whispered, touching her lips. “It feels… loose.” Mark scoffed and dragged them to the Hall of M...
5516	sample_5266	5266	stop	11975	stray_token_坨	...of being used, but of being worshipped. It was just as suffocating. “坨’m not a prophet,” he said, his voice cracking. “I’m just a guy who can’t use a toaster.” They didn’t listen. They kne...
5531	sample_5445	5445	stop	5493	stray_token_坨	...d you put a bullet in his brain.” “You’re insane!” Croft sputtered. “坨 have no proof!” “I have the gun,” I said. “I have the shell company. And I have a witness. The doorman at your club r...
5649	sample_5677	5677	stop	3704	stray_token_坨	....” Chloe flinched, her ponytail swishing as she jerked her head up. “坨 (Tuó), I do not. I smell like coffee and the library. I told you, I was up all night finishing my Poli Sci paper.” Her...
6566	sample_6610	6610	stop	2746	stray_token_坨	...y sticky, very large, situation. She let out a long, defeated sigh. "坨坨 (Tuó tuó)," she muttered, a word that meant "lumpy" in the old tongue)Skip. It was the only spell she felt worthy of...
8298	sample_8254	8254	stop	6754	stray_token_坨	...The Goal:** "I want a system that can play chess." \\| **The Method:** "坨I will feed this system millions of chess games so it can learn the best moves on its own." \\| **In short:** - **AI......
8486	sample_8345	8345	stop	9494	stray_token_坨	...oftly this time. Then she looks at him, her grey-green eyes serious. “坨I’m leaving tomorrow,” she says. “I have a flight to Marrakech.” The words are a cold stone dropped into his chest. He...
8608	sample_8590	8590	stop	6657	stray_token_坨	...is when the real bonding happens! We can tell ghost stories!” MAYA: “坨 (duò) - that’s Mandarin for ‘I’m going to die here.’ I learned it just for this trip.” JENNA (lighting a candle with...
8701	sample_8780	8780	stop	2571	stray_token_坨	...eagull cocked its head. Silas pointed a gnarled finger at the rope. "坨坨. 坨坨." He was trying to say "knot," but his old, tired brain, addled by years of salt spray and solitude, had forgott...
9207	sample_9145	9145	stop	7351	stray_token_坨	...to repair it, but the energy was too volatile for him to get close. “坨 need to hold the frequency in your mind,” Kaelen said, his voice strained. “The Grey World is a place of static, of no...
9622	sample_9661	9661	stop	4879	stray_token_坨	...imal’s gasp. I slammed the fallboard shut. The echo was a gunshot. “坨屎 (Piece of shit),” I hissed, the Cantonese curse tasting like ash. I felt the hot sting of tears, not of sadness, but...
9748	sample_9729	9729	stop	7141	stray_token_坨	...watercolor on the wall—a painting of the old woods behind the farm. “坨I did that. Well, a version of it. I saw it from the ridge this morning.” Leo stared at the painting, then back at her...
9877	sample_9713	9713	stop	12410	stray_token_坨	...just sat there, in the silence, letting Maya’s pain fill the room. “坨 (Tuó),” Maya said suddenly, pointing to a small, misshapen lump of clay in the pile. “My mom made that. She said it wa...
9995	sample_9936	9936	stop	7767	stray_token_坨	...a man who had seen too much. “I know,” she said, not looking at him. “坨 know what you can do.” The world stopped. “How?” “I saw you with the pigeon. From the fire escape. And then I saw yo...
10352	sample_10438	10438	stop	3677	stray_token_坨	..." was a hit for **Gary Allan** in 1999. The opening stanza goes: > *"坨I saw Lynda Carter at the grocery store* > *She was buying cigarettes and a Cosmopolitan* > *I said, 'Hey there, Wonder...
10431	sample_10527	10527	stop	3744	stray_token_坨	...ragile and bright, broke across her face. “I did it,” she whispered. “坨坨, I did it.” That was the turning point. My patience wasn’t a virtue I suddenly possessed; it was a muscle I had to f...
11459	sample_11359	11359	length	24323	ascii_vertical_bar_tail_loop	tail: \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \\| \...
11556	sample_11443	11443	length	10823	stray_token_坨	...ams-Sonoma. MARGARET We can’t afford Williams-Sonoma. LEO (quietly) 坨 We can’t afford this. **SCENE 4** **INT. ANNA'S BEDROOM - NIGHT** Anna is on her bed, staring at the ceiling. Her p...
11803	sample_11840	11840	stop	7563	stray_token_坨	...it meant “the cage of the moment.” Thorne smiled. “You found it.” “坨,” Croft said. “The key.” He didn’t throw the crystal. He didn’t smash it. He placed it in Thorne’s dead, ghostly hand...
11968	sample_11997	11997	stop	8295	stray_token_坨	...o of us, laughing, from years ago. “I forgot who we were,” she said. “坨I’m sorry.” I poured the wine. “I’m sorry, too.” We didn’t fix everything that night. But we stopped blaming each oth...
12550	sample_12754	12754	stop	2552	stray_token_坨	...me. **Mister:** *"Are you okay?"* Three words. Simple. Terrifying. 坨I took another gulp of wine for courage. What do you say? *"Oh, haha, that was for my sister, I'm not actually suicidal...
